,Nfit,Nres,delta_t,g(t),std_err,std_err_fit
36,1.30209334967,-3.1429777699,1.3e-06,1.33471985,0.00908886713658,0.0103807607672
37,1.30142933571,-3.98086038484,1.4e-06,1.341219,0.00942128313209,0.00999524234428
38,1.30076843483,-3.24229412137,1.5e-06,1.3320498,0.00961306376048,0.00964791101567
39,1.30011062407,-2.05278905117,1.6e-06,1.3192691,0.0109929134348,0.00933290048622
40,1.29880418224,-3.00574590025,1.8e-06,1.3252007,0.00607314598462,0.00878201905105
41,1.29750983121,-4.15599361182,2e-06,1.3320657,0.00789290908097,0.00831470690825
42,1.2962273955,-2.99164970846,2.2e-06,1.31989715,0.00808739918246,0.00791194050181
43,1.29495670318,-1.97119986684,2.4e-06,1.30985945,0.00623022831182,0.00756024139094
44,1.29369758566,-3.81112882497,2.6e-06,1.32132735,0.0075378814644,0.00724975869514
45,1.29244988393,-2.25020487002,2.799999e-06,1.3081408,0.00886516251222,0.00697310555119
46,1.29121342349,-4.68410812096,2.999999e-06,1.32271225,0.0067294474717,0.00672461559286
47,1.28998805176,-1.34052725502,3.199999e-06,1.2987013,0.00788216886177,0.00649986653331
48,1.28756995428,-4.11380320298,3.599999e-06,1.312698,0.0063915394159,0.00610822746707
49,1.28519437491,-4.63803832143,4e-06,1.31199005,0.00502028385227,0.00577737250769
50,1.2828601663,-3.90607259303,4.399999e-06,1.30431705,0.0056686885646,0.00549321170878
51,1.28056618926,-2.32741668314,4.799999e-06,1.2927754,0.00607666047694,0.00524582075242
52,1.27831136963,-3.89763877227,5.199999e-06,1.29790865,0.00546134963735,0.00502798784353
53,1.27609466686,-2.36508173063,5.599999e-06,1.28752825,0.00425191670595,0.00483432897503
54,1.27391507806,-2.56279847568,5.999999e-06,1.2858596,0.00412130115704,0.00466073398133
55,1.2717716363,-1.16736426418,6.399999e-06,1.27702945,0.00460661185714,0.00450400433149
56,1.26758949626,-2.03581937857,7.199999e-06,1.2762041,0.00394564941733,0.00423151672094
57,1.26354117054,-1.80622619839,7.999999e-06,1.27076955,0.00340475029589,0.00400192371741
58,1.25962006254,-0.965067693475,8.799999e-06,1.2632923,0.00366580989421,0.00380516048877
59,1.25582001453,-3.22247785731,9.599999e-06,1.26753105,0.00371598914656,0.0036341709664
60,1.25213526644,-1.11788385416,1.04e-05,1.2560298,0.00417701454845,0.00348384453705
61,1.24856044122,-0.343978643224,1.12e-05,1.2497129,0.00374138451639,0.00335037886221
62,1.24509048749,-1.93984759736,1.2e-05,1.2513579,0.00387567895336,0.00323087881783
63,1.2417206712,-2.97566116506,1.28e-05,1.25101395,0.00333824892681,0.00312309711501
64,1.23526393467,-1.19781405108,1.44e-05,1.23878065,0.00252494820667,0.00293594429333
65,1.22915774399,-1.94720597438,1.6e-05,1.234568,0.00284300059796,0.00277847135026
66,1.2233732738,0.248395387411,1.76e-05,1.2227166,0.00238536960386,0.0026436634098
67,1.21788485043,-0.00718335184215,1.92e-05,1.217903,0.00277124622237,0.00252661614364
68,1.21266952542,-2.84774530262,2.08e-05,1.21957185,0.00218659528866,0.00242378578374
69,1.20770671734,0.718730178671,2.24e-05,1.20603025,0.00248791835866,0.00233254062125
70,1.2029779093,-1.39398360783,2.4e-05,1.2061156,0.00250039641297,0.00225088062663
71,1.19846641986,-0.538352015353,2.559999e-05,1.19963855,0.00289601933995,0.00217725596452
72,1.19003615303,0.0339127717816,2.88e-05,1.18996665,0.00221745951178,0.00204946466797
73,1.18231091283,1.14260332893,3.2e-05,1.180092,0.00120670290461,0.00194198001391
74,1.17520335199,0.0724340909203,3.52e-05,1.17506935,0.00203287459436,0.00184998515602
