delta_t,meanB,meanBR,meanR,stdB,stdR,stdRB
7.999999e-06,1.738567875,1.1758652749999996,1.363556675,0.03505483045828886,0.016102924565723303,0.013005738436335531
8.799999e-06,1.7335488,1.173399075,1.3602836249999997,0.028978569440364043,0.016930604942953887,0.0150010131939271
9.599999e-06,1.7372217749999996,1.174892425,1.3629562750000004,0.03764222202692577,0.0168956741667616,0.013643099830843974
1.04e-05,1.7379668750000001,1.1753775125000003,1.360134775,0.03459724704451751,0.014378530226500038,0.013333124042205697
1.12e-05,1.7341239749999997,1.1737183624999996,1.359471325,0.038588150590879264,0.016304504902614345,0.013666291304011263
1.2e-05,1.72420525,1.1753540375000004,1.360696775,0.03384788870354397,0.017242079501161536,0.015255476023746155
1.28e-05,1.7306920749999999,1.1765706249999996,1.356221975,0.0466880121248418,0.014991704526983403,0.014202298942754828
1.44e-05,1.7286866499999998,1.1727587750000001,1.353571125,0.033345758347614475,0.014910024217263196,0.009595709472174271
1.6e-05,1.7210010749999998,1.1738419875000006,1.3554315000000003,0.03088207422631089,0.014707953571112464,0.009599737963212528
1.76e-05,1.72146185,1.1752530499999998,1.3516823,0.02998210135943609,0.01342071632998776,0.010685393323247402
1.92e-05,1.7096808,1.1728546874999999,1.352805025,0.0296971279639968,0.013641570945986219,0.009992618312526687
2.08e-05,1.7062565999999997,1.1735366375000007,1.3497389,0.033598090421034364,0.014538182619915043,0.010332700610493545
2.24e-05,1.708320375,1.1716393,1.3490921750000002,0.02697046206100989,0.015180480739896696,0.009795177081604987
2.4e-05,1.7050730999999992,1.16954875,1.3479547250000001,0.030231928451390586,0.014637367804676329,0.008971139391821974
2.559999e-05,1.70287125,1.1724652999999998,1.345084875,0.029560193510657206,0.01483468043671231,0.011092773907368705
2.88e-05,1.6887409750000004,1.1712122000000007,1.3447818499999995,0.02625810871758237,0.014330304613911727,0.007917720995336984
3.2e-05,1.6827835999999998,1.1709786000000002,1.3422259,0.025920247971228973,0.013442535816950596,0.007743821368678378
3.52e-05,1.6744074999999998,1.1695189,1.340875525,0.0258297616858925,0.012369050266668607,0.007093594336794287
3.839999e-05,1.6674996999999998,1.1690691125,1.3373499500000001,0.026835980880340504,0.012958192946838682,0.0082100106607631
4.159999e-05,1.6612099749999996,1.1688009250000004,1.3376586249999998,0.024190046972347414,0.012357569796864396,0.007923281668246749
4.479999e-05,1.656349,1.1676538749999998,1.3340986999999997,0.026688059744949602,0.011457637649620444,0.007618318673393432
4.799999e-05,1.6476413,1.1671536125000004,1.33202285,0.022922473486951617,0.01421134868960367,0.006505903375961234
5.119999e-05,1.639744375,1.1661326125,1.33131375,0.027359853473371786,0.013718914085579074,0.00718282331937405
