,gn,gnr,t
106,0.0774854824572,0.0657445520005,0.0009216
107,0.0695385222939,0.058571573044,0.001024
108,0.0629571910216,0.0526757358428,0.0011264
109,0.0574226769925,0.0477545662852,0.0012288
110,0.0527077891072,0.0435914569245,0.0013312
111,0.04864629807,0.0400282057043,0.0014336
112,0.0451138143549,0.0369469310097,0.001536
113,0.042015435042,0.0342582308595,0.0016384
114,0.0368420682542,0.0297979470065,0.0018432
115,0.0327023183061,0.026254404473,0.002048
116,0.0293210953375,0.0233760909665,0.0022528
117,0.0265122628427,0.020995001842,0.0024576
118,0.0241454829516,0.0189966962003,0.0026624
119,0.0221268456919,0.0173019050032,0.002867199
120,0.020386989321,0.0158508055466,0.003071999
121,0.0188736467734,0.0145974270637,0.003276799
122,0.0163747958413,0.0125488809146,0.003686399
123,0.0144021126713,0.0109527065549,0.004096
124,0.0128099925724,0.00967932201581,0.004505599
125,0.0115013127114,0.0086430876134,0.004915199
126,0.0104089525678,0.00778552424312,0.005324799
127,0.00948510978344,0.00706551681961,0.005734399
128,0.00869487338046,0.00645341876222,0.006143999
129,0.00801219017916,0.00592737310842,0.006553599
130,0.00689473678897,0.00507156586587,0.007372799
131,0.00602142019667,0.00440695345405,0.008191999
132,0.00532235287143,0.00387732837329,0.009011199
133,0.00475160944669,0.00344628481383,0.009830398
134,0.00427785678934,0.00308927292459,0.0106496
135,0.00387904604382,0.00278917771406,0.0114688
136,0.00353923816874,0.00253372083548,0.012288
137,0.00324664885574,0.00231387807055,0.0131072
138,0.00276964232249,0.00195554099941,0.0147456
139,0.00239852928913,0.00167662482977,0.016384
