,Gfit,NRfit,NRres,NTRfit,NTRres,NTfit,NTres,Nfit,Nres,Tfit,Tres,delta_t,g(t),std_err,std_err_fit
21,1.13917765732,1.14066577815,0.514478829458,1.14444166153,1.41203986243,1.14416325981,1.34586135442,1.1403273674,0.434036420838,1.13917765767,0.160740698017,3.5e-07,1.13850145,0.015559821,0.00420682991436
22,1.13913727866,1.14062180383,-0.648210844178,1.14436307389,0.272021563326,1.14409198885,0.205343398088,1.14028434228,-0.73121469882,1.13913727902,-1.01335494787,3.75e-07,1.14325715,0.02243585,0.00406557434914
23,1.13909692315,1.1405778604,-2.8353098099,1.14428476863,-1.89389394632,1.14402090495,-1.96090538069,1.14024134468,-2.92077131306,1.1390969235,-3.21141090182,4e-07,1.15174215,0.021158479,0.00393759185084
24,1.13901628149,1.14049006397,-2.60326265158,1.14412898898,-1.62347298025,1.14387929475,-1.69070371944,1.14015543195,-2.69336222477,1.13901628183,-3.00008068199,4.5e-07,1.15015855,0.011445054,0.00371398913868
25,1.13893573217,1.14040238727,-2.04207218533,1.14397431404,-1.028591386,1.1437384221,-1.0955221346,1.14006962899,-2.13648638512,1.13893573251,-2.45821195779,5e-07,1.1475995,0.015146672,0.00352441796917
26,1.13885527504,1.14031483103,-3.68518639956,1.14382072586,-2.64208415109,1.14359828,-2.70826798855,1.13998393559,-3.78363607183,1.13885527537,-4.11944358404,5.5e-07,1.15270085,0.021391811,0.00336103001698
27,1.13877490994,1.14022739395,-1.86531974694,1.14366821256,-0.796177228768,1.14345886148,-0.861227425722,1.13989835152,-1.96755983437,1.13877491025,-2.31663855854,6e-07,1.14623055,0.013360422,0.00321830033785
28,1.1386946367,1.14014007612,-0.865635261408,1.14351675861,0.226361843964,1.1433201597,0.162783095268,1.13981287657,-0.971448362979,1.13869463701,-1.33307906311,6.5e-07,1.1428168,0.015523221,0.00309221112019
29,1.13861445517,1.14005287558,-0.0729848872272,1.14336635141,1.03901004452,1.14318216784,0.977198514285,1.13972751052,-0.182175521904,1.13861445547,-0.555713543841,7e-07,1.14027035,0.015329064,0.00297976080888
30,1.1385343652,1.13996579539,-2.24224728351,1.1432169766,-1.11283663612,1.14304487917,-1.17262059435,1.13964225315,-2.35463973874,1.13853436549,-2.73950223463,7.5e-07,1.14642045,0.01195139,0.00287865558952
31,1.13845436663,1.13987883165,-2.0507174497,1.14306862249,-0.906235903216,1.14290828705,-0.963763430372,1.13955710426,-2.16615047888,1.13845436691,-2.56180654536,8e-07,1.1455944,0.014579363,0.00278710818998
32,1.13829464305,1.13970525619,-1.15013396535,1.14277492042,0.0182394196703,1.14263716616,-0.0341924591274,1.13938713102,-1.27121727788,1.13829464332,-1.68703834031,9e-07,1.142727,0.010526795,0.00262729986405
33,1.1381352832,1.13953214718,-1.07600364961,1.14248514334,0.109007995785,1.14236875329,0.0623017317604,1.13921758908,-1.20223175689,1.13813528344,-1.63655071853,1e-06,1.1422135,0.00916113,0.00249195789312
34,1.13797628582,1.13935950256,-0.73313326603,1.14219919594,0.462316284177,1.14210299768,0.421818935321,1.13904847675,-0.864067043543,1.13797628605,-1.31543524444,1.1e-06,1.141101,0.008042373,0.00237542128572
