delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
0.2359296,1.000825235,1.000193268,1.000367206,0.000668874,0.000250033,0.000351518
0.262144,1.000559881,1.000075252,1.000231648,0.000650073,0.000213578,0.00034279
0.2883584,1.000580245,1.000063969,1.000266342,0.000690775,0.000170286,0.00029642
0.3145728,1.000565245,1.000024031,1.00024181,0.000800581,0.00024222,0.000326376
0.3407871,1.000582152,0.999989889,1.000160806,0.000679675,0.000210136,0.000325639
0.3670015,1.000629968,1.000099573,1.000164648,0.000713909,0.000267246,0.000308395
0.3932159,1.000597603,1.000148431,1.000223155,0.000738176,0.000249253,0.000317748
0.4194303,1.000742332,1.000114634,1.000144935,0.000769029,0.000222004,0.000295426
0.4718591,1.000522452,1.000058048,1.000030245,0.0005151,0.000186991,0.000294962
0.5242879,1.000489368,1.000042135,1.000071971,0.000519546,0.000182135,0.000285892
0.5767167,1.0002519,0.999936615,1.000021548,0.000533389,0.000201015,0.000286713
0.6291455,1.000395574,1.000112242,1.000090006,0.000431549,0.00016516,0.000254374
0.6815743,1.000443103,1.000030621,1.000145377,0.000600929,0.000165857,0.000269952
0.7340031,1.000434258,1.000148763,1.000120539,0.000622592,0.000203482,0.000224405
0.7864318,1.000441732,1.000026958,1.000061687,0.000535766,0.000178869,0.00022608
0.8388606,1.000367171,1.000059592,1.000103487,0.000424189,0.00021602,0.000254309
0.9437183,1.000250239,0.9999707,1.000073216,0.000411432,0.000165509,0.000197646
1.048576,1.00016941,0.999950377,1.000056329,0.000348355,0.000157896,0.000243218
1.153433,1.000274539,0.999904084,1.000063245,0.000316311,0.000154871,0.0002701
1.258291,1.000209719,0.999971053,1.000052868,0.00041101,0.000141247,0.000197738
1.363149,1.000007335,0.999965516,1.000042642,0.000456802,0.000156164,0.000196226
1.468006,1.000112032,0.999982765,1.000012523,0.000433346,0.000147379,0.000216373
1.572864,1.000139958,1.00000064,1.000029081,0.000384359,0.000120928,0.000223192
1.677721,0.999986016,1.000076561,1.00006911,0.000420764,0.000144292,0.000202705
1.887437,1.000126023,1.000023148,1.000032732,0.000392392,0.000125495,0.000168856
2.097152,1.000103403,0.999989448,1.000013871,0.000288293,0.000109816,0.000145878
2.306867,1.000108058,0.999948265,1.000053942,0.000272529,0.000106428,0.00015676
2.516582,1.000121439,1.000053692,1.000106861,0.000304859,8.05374E-05,0.0001422
2.726297,1.0000896,0.999970097,1.000000397,0.000336449,0.000130486,0.000185323
2.936012,1.000107994,1.000005873,1.000069858,0.000328175,0.000105039,0.000185693
3.145727,1.000123261,1.000052334,1.000037135,0.000305307,9.52397E-05,0.000156814
3.355443,0.999980345,0.999959034,0.999965397,0.000327314,0.000117759,0.000138497
3.774873,1.000012903,0.999987929,1.000016161,0.000225424,8.31905E-05,0.000120698
4.194304,1.000070181,0.999955134,0.999982519,0.000206348,7.74424E-05,0.000104756
4.613734,1.0000331,0.999979789,1.000021339,0.000194099,8.92076E-05,0.000135774
5.033164,0.999932303,0.999995732,0.999987742,0.000228282,6.43875E-05,9.64E-05
5.452594,1.000084587,1.000113621,1.000071739,0.000200752,0.0001143,0.000134606
5.872025,1.000022519,1.000042192,1.0000035,0.000217855,8.17295E-05,9.44E-05
6.291455,1.000043681,1.000062263,1.000014871,0.00017961,7.81855E-05,0.000129684
6.710885,1.000081019,1.000050387,0.999995858,0.000212561,8.60638E-05,0.00012587
7.549746,1.000012035,1.000013915,1.000030752,0.000174799,5.863E-05,9.65E-05
8.388607,1.000015265,1.000005166,1.000005197,0.000171663,8.17222E-05,8.07E-05
9.227468,1.000052329,1.000019302,1.000024826,0.000220136,6.49867E-05,8.78E-05
10.06633,1.000028755,1.000004702,1.000001697,0.000207797,5.49591E-05,0.000106394
10.90519,0.999977539,0.999979215,1.000002868,0.00018764,6.35318E-05,8.51E-05
11.74405,1.000009765,1.000015384,1.000012887,0.00019723,5.62337E-05,8.65E-05
12.58291,1.000066765,1.000029748,0.999995281,0.00020891,6.84213E-05,0.000112162
13.42177,0.999988058,1.000000755,0.999981787,0.000190257,6.46712E-05,8.72E-05
15.09949,0.999959697,0.9999855,1.000006216,0.000136098,5.40896E-05,7.89E-05
16.77721,0.999971274,0.999971819,0.999998242,0.000143738,5.72079E-05,5.96E-05
18.45494,0.999939752,0.999995866,0.999992813,0.000159018,5.68207E-05,7.79E-05
20.13266,1.000034123,0.99998629,1.000008635,0.00014457,5.98721E-05,8.09E-05
21.81038,1.000031723,1.000001031,1.000008713,0.000117785,4.34E-05,7.33E-05
23.4881,0.999949287,0.999962252,0.999997974,0.000142757,6.42648E-05,7.37E-05
25.16582,0.999974455,1.000008887,1.000014203,0.000169766,5.25713E-05,7.61E-05
26.84354,0.999981968,0.999987424,1.000014148,0.000162799,5.95916E-05,7.32E-05
30.19898,0.999974452,0.999972373,0.999981239,8.99E-05,4.65E-05,5.74E-05
33.55443,0.999989387,1.000001929,1.000003245,0.000103973,3.99E-05,6.50E-05
36.90987,1.000004539,1.000010919,0.999994158,0.000113357,4.43E-05,5.98E-05
40.26531,0.999998703,1.000029056,0.999991142,0.000104333,4.07E-05,6.81E-05
43.62075,0.9999876,0.999994592,0.999979171,0.000120859,5.10023E-05,5.64E-05
46.9762,1.000004342,1.000010477,0.999984065,0.000109589,4.10E-05,6.30E-05
50.33164,0.999939094,0.999974797,0.999963132,0.000131437,4.40E-05,5.20E-05
53.68708,0.999984987,1.000006242,1.000003916,0.00012181,4.87E-05,5.78E-05
60.39797,0.999989123,1.000008398,0.9999917,8.51E-05,2.92E-05,3.77E-05
67.10886,1.000019048,1.000030774,0.99999049,9.03E-05,3.22E-05,3.37E-05
73.81974,1.000018942,1.000005715,0.999998129,8.00E-05,2.73E-05,4.40E-05
80.53062,1.000011403,1.000025674,0.999989423,7.94E-05,3.18E-05,4.50E-05
87.24151,1.000015842,0.999992802,0.99998931,9.65E-05,2.98E-05,4.98E-05
93.95239,1.000040768,1.000017839,0.999994058,0.000114364,4.04E-05,4.47E-05
100.6633,1.000028987,0.999992273,1.000002403,8.91E-05,2.90E-05,4.94E-05
107.3742,0.999993974,0.999984908,0.999988658,0.000108407,3.66E-05,4.76E-05
120.7959,1.000001958,0.999984031,0.999993829,0.000104673,2.68E-05,4.72E-05
134.2177,0.999969332,0.999989887,0.99999209,8.53E-05,3.75E-05,4.44E-05
147.6395,1.000014061,1.000006495,1.000005681,8.38E-05,2.82E-05,4.15E-05
161.0612,1.000002781,0.999999974,0.999998742,8.57E-05,3.50E-05,4.44E-05
174.483,0.999985135,0.999990184,1.000002161,0.000100364,3.56E-05,4.60E-05
187.9048,1.000035713,1.000015234,0.999990184,9.13E-05,3.42E-05,5.69E-05
201.3266,0.999993655,0.999996855,0.999995474,0.000150078,4.12E-05,6.48E-05
214.7483,1.000005519,0.999992965,1.000004019,0.000137215,4.36E-05,5.85E-05
241.5919,1,1,1,0,0,0
268.4354,0,0,0,0,0,0
295.279,0,0,0,0,0,0
322.1225,0,0,0,0,0,0
348.966,0,0,0,0,0,0
375.8096,0,0,0,0,0,0
402.6531,0,0,0,0,0,0
429.4966,0,0,0,0,0,0
483.1837,0,0,0,0,0,0
536.8708,0,0,0,0,0,0
590.5579,0,0,0,0,0,0
644.245,0,0,0,0,0,0
697.9321,0,0,0,0,0,0
751.6191,0,0,0,0,0,0
805.3062,0,0,0,0,0,0
858.9933,0,0,0,0,0,0
