delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
6.00E-07,1.719594182,1.118581685,1.315373455,0.241819545,0.048720006,0.018225643
6.50E-07,1.681136091,1.131566119,1.323470182,0.158167966,0.042679399,0.013718497
7.00E-07,1.824140727,1.142096303,1.319719182,0.208966422,0.05050399,0.025425466
7.50E-07,1.759973545,1.145972909,1.321273545,0.2088264,0.043908858,0.011026325
8.00E-07,1.792912727,1.144418363,1.317147,0.167833494,0.065234035,0.015831813
9.00E-07,1.768375455,1.144910831,1.311234545,0.157932532,0.041680014,0.013559972
1.00E-06,1.742954273,1.149071586,1.318077273,0.158552391,0.036564002,0.006255199
1.10E-06,1.790850182,1.157594515,1.321389455,0.109302709,0.041525898,0.01130823
1.20E-06,1.720896091,1.143950454,1.314820818,0.132699667,0.025438449,0.014912368
1.30E-06,1.769739636,1.139718184,1.316950091,0.093098276,0.031870727,0.010476083
1.40E-06,1.753796455,1.150074769,1.314053636,0.170450476,0.039796567,0.010121075
1.50E-06,1.716849091,1.145672585,1.316855364,0.148514958,0.038942213,0.009689394
1.60E-06,1.763914,1.15462591,1.321152636,0.134016184,0.043028012,0.009877656
1.80E-06,1.733312273,1.161243836,1.316049455,0.109395304,0.027786322,0.007620422
2.00E-06,1.748005455,1.138035259,1.315541,0.112785974,0.035102757,0.009593618
2.20E-06,1.689888182,1.153880159,1.319102,0.142002758,0.02388861,0.011169455
2.40E-06,1.708146818,1.146849832,1.312546545,0.152848796,0.026925588,0.010536549
2.60E-06,1.744001455,1.14333905,1.314658273,0.110044486,0.021869625,0.006435394
2.80E-06,1.779530182,1.142691277,1.313011182,0.087624601,0.021885429,0.008943683
3.00E-06,1.736364273,1.145680545,1.313213818,0.133098878,0.021075358,0.008637186
3.20E-06,1.710994091,1.151050643,1.321000727,0.099700252,0.027530859,0.008535237
3.60E-06,1.771370273,1.154598939,1.312424091,0.037221547,0.017486515,0.003963326
4.00E-06,1.733319545,1.150751166,1.311779182,0.062428403,0.018595212,0.00873759
4.40E-06,1.756646091,1.144325128,1.310461545,0.083713312,0.017956495,0.0055487
4.80E-06,1.745773818,1.140310195,1.305044636,0.077718184,0.023184006,0.003804218
5.20E-06,1.707182545,1.14567737,1.311722636,0.053428817,0.017197478,0.006436154
5.60E-06,1.695458,1.14493073,1.310478455,0.0585031,0.018788067,0.006942033
6.00E-06,1.719120909,1.137346034,1.308203273,0.024523069,0.021029145,0.005546671
6.40E-06,1.694807545,1.142703809,1.307553091,0.047909614,0.017224088,0.003872011
7.20E-06,1.722285364,1.142827741,1.305865091,0.0420166,0.014948735,0.00426852
8.00E-06,1.720065273,1.144882801,1.304338273,0.053332815,0.012994098,0.007049896
8.80E-06,1.720738091,1.147033083,1.303706273,0.065980329,0.014357818,0.002895222
9.60E-06,1.673749182,1.147147912,1.302814182,0.063517317,0.012514637,0.004652111
1.04E-05,1.699664818,1.138199288,1.298217273,0.054200091,0.01178457,0.005239306
1.12E-05,1.684948364,1.140396316,1.299975545,0.072959806,0.013695275,0.004541309
1.20E-05,1.693241636,1.148802382,1.298779273,0.051575514,0.011244805,0.00247665
1.28E-05,1.704312818,1.142920341,1.298346545,0.049829475,0.014769769,0.004725346
1.44E-05,1.676257909,1.14430345,1.295995818,0.049398954,0.013984682,0.003994137
1.60E-05,1.682316182,1.141943833,1.295635727,0.035525461,0.009889678,0.005503315
1.76E-05,1.676113727,1.140549505,1.292784273,0.049662544,0.011342051,0.002224394
1.92E-05,1.679128455,1.142138431,1.293486364,0.026915328,0.014916594,0.003303967
2.08E-05,1.664564273,1.141262611,1.292606091,0.025044356,0.00843845,0.004752327
2.24E-05,1.659320909,1.142491893,1.289866182,0.046700984,0.011796194,0.004065443
2.40E-05,1.634178636,1.139005882,1.288618091,0.035286276,0.010693606,0.004504695
2.56E-05,1.660167909,1.141894125,1.287734182,0.040251996,0.014484913,0.004138074
2.88E-05,1.657059182,1.141907252,1.286718182,0.016752165,0.009814249,0.002574748
3.20E-05,1.633788091,1.140470157,1.283519909,0.023838888,0.006432462,0.003543957
3.52E-05,1.628320364,1.138169946,1.282621455,0.029163099,0.007107855,0.001428083
3.84E-05,1.636242909,1.136862248,1.279474909,0.023620725,0.008868136,0.003824423
4.16E-05,1.612604455,1.138220882,1.278558818,0.029841614,0.008985997,0.003890635
4.48E-05,1.604317909,1.136345348,1.276485182,0.020219606,0.007996317,0.003011236
4.80E-05,1.599397364,1.135693298,1.273205727,0.029194242,0.007029089,0.003752614
5.12E-05,1.592170182,1.135282972,1.272230545,0.024443767,0.00747577,0.003093762
5.76E-05,1.573897909,1.13622719,1.270049909,0.013559507,0.006944819,0.001298854
6.40E-05,1.558551818,1.13643622,1.266267364,0.017646022,0.005636919,0.002241953
7.04E-05,1.542235273,1.134825049,1.262499636,0.0157627,0.006325672,0.003421463
7.68E-05,1.529006545,1.134035469,1.259888091,0.020066438,0.004801009,0.001865554
8.32E-05,1.526421636,1.130777892,1.256176364,0.016669023,0.005755458,0.002150787
8.96E-05,1.517549727,1.131183999,1.253761182,0.018980811,0.006527157,0.002043201
9.60E-05,1.510159,1.128014865,1.25028,0.022296326,0.00732561,0.001954014
0.0001024,1.501496727,1.129633316,1.247266364,0.014400212,0.005821535,0.003275609
0.0001152,1.486902727,1.125750793,1.242083909,0.016200542,0.004774794,0.002154349
0.000128,1.469777727,1.124061384,1.236512364,0.010609593,0.003885353,0.001919872
0.0001408,1.459141182,1.123393481,1.231363182,0.014748241,0.004092788,0.001836557
0.0001536,1.439710455,1.119788975,1.227474273,0.014731229,0.005587537,0.002029441
0.0001664,1.423263818,1.11788522,1.222583273,0.009318895,0.005698029,0.002107674
0.0001792,1.418154182,1.120491577,1.218806455,0.013735607,0.004566266,0.002058701
0.000192,1.401871545,1.117867206,1.214284909,0.015649877,0.004771202,0.001633525
0.0002048,1.392354545,1.117162038,1.210185182,0.011634327,0.00527584,0.002160829
0.0002304,1.367976636,1.116974053,1.202853091,0.006575426,0.003953129,0.002062698
0.000256,1.351609273,1.113503557,1.195601091,0.008560622,0.003275041,0.002382298
0.0002816,1.338656091,1.111048914,1.189282,0.006149685,0.003506798,0.002299002
0.0003072,1.322577,1.111727982,1.183281727,0.009054841,0.003261034,0.001637757
0.0003328,1.302653,1.110290681,1.176985,0.007838996,0.004122755,0.001642644
0.0003584,1.293019182,1.108206594,1.172173364,0.008943526,0.003358131,0.001364748
0.000384,1.283243364,1.106732814,1.166663727,0.010222321,0.002807591,0.00197956
0.0004096,1.270155818,1.102457408,1.161899273,0.006946628,0.003337362,0.002244562
0.0004608,1.252228364,1.098676926,1.153193727,0.005582375,0.002874052,0.001322011
0.000512,1.234156273,1.094473368,1.145121182,0.009988805,0.002990519,0.001337451
