delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
2.40E-06,1.872288235,1.151044853,1.307132059,0.152848796,0.026925588,0.010536549
2.60E-06,1.862923235,1.153766176,1.302501176,0.110044486,0.021869625,0.006435394
2.80E-06,1.868087647,1.144663971,1.303762059,0.087624601,0.021885429,0.008943683
3.00E-06,1.865636471,1.146929853,1.298374118,0.133098878,0.021075358,0.008637186
3.20E-06,1.900735294,1.150746324,1.297456176,0.099700252,0.027530859,0.008535237
3.60E-06,1.863325588,1.157232353,1.299336176,0.037221547,0.017486515,0.003963326
4.00E-06,1.871894118,1.151909412,1.298336176,0.062428403,0.018595212,0.00873759
4.40E-06,1.858424412,1.149168382,1.297221471,0.083713312,0.017956495,0.0055487
4.80E-06,1.869908824,1.15156,1.298008235,0.077718184,0.023184006,0.003804218
5.20E-06,1.837953824,1.156573676,1.294697647,0.053428817,0.017197478,0.006436154
5.60E-06,1.854511765,1.161584118,1.295097647,0.0585031,0.018788067,0.006942033
6.00E-06,1.836134706,1.155817353,1.296624706,0.024523069,0.021029145,0.005546671
6.40E-06,1.838357059,1.152351618,1.291037059,0.047909614,0.017224088,0.003872011
7.20E-06,1.824618235,1.155577647,1.293515588,0.0420166,0.014948735,0.00426852
8.00E-06,1.832938824,1.152867353,1.290278529,0.053332815,0.012994098,0.007049896
8.80E-06,1.820582059,1.156569853,1.290224118,0.065980329,0.014357818,0.002895222
9.60E-06,1.833779118,1.151062647,1.288861471,0.063517317,0.012514637,0.004652111
1.04E-05,1.827107353,1.149619706,1.287615588,0.054200091,0.01178457,0.005239306
1.12E-05,1.807220882,1.151481912,1.288659706,0.072959806,0.013695275,0.004541309
1.20E-05,1.808437941,1.150161324,1.287410588,0.051575514,0.011244805,0.00247665
1.28E-05,1.799725,1.153079412,1.286424706,0.049829475,0.014769769,0.004725346
1.44E-05,1.819965588,1.153019853,1.285657941,0.049398954,0.013984682,0.003994137
1.60E-05,1.802267941,1.154894853,1.282810588,0.035525461,0.009889678,0.005503315
1.76E-05,1.810402941,1.150866176,1.281282647,0.049662544,0.011342051,0.002224394
1.92E-05,1.797370588,1.152847353,1.280598235,0.026915328,0.014916594,0.003303967
2.08E-05,1.789284412,1.151511176,1.278728529,0.025044356,0.00843845,0.004752327
2.24E-05,1.775955,1.149374706,1.277752059,0.046700984,0.011796194,0.004065443
2.40E-05,1.779810588,1.149209706,1.277803529,0.035286276,0.010693606,0.004504695
2.56E-05,1.761750588,1.150288824,1.278503235,0.040251996,0.014484913,0.004138074
2.88E-05,1.757135588,1.149856324,1.273416176,0.016752165,0.009814249,0.002574748
3.20E-05,1.757528235,1.148189706,1.272954118,0.023838888,0.006432462,0.003543957
3.52E-05,1.744115882,1.147756765,1.271759118,0.029163099,0.007107855,0.001428083
3.84E-05,1.735787059,1.146013235,1.269722059,0.023620725,0.008868136,0.003824423
4.16E-05,1.726539412,1.147843235,1.267973235,0.029841614,0.008985997,0.003890635
