,oligoB,oligoBR,oligoBR_std,oligoBR_stdfit,oligoB_std,oligoB_stdfit,oligoR,oligoR_std,oligoR_stdfit,t
116,1.113667909,1.05662553,0.001945776,0.00196145440955,0.002430095,0.00403779061512,1.080088455,0.001108634,0.0010786905989,0.0013312
117,1.109115636,1.053723086,0.001898305,0.00190715306217,0.004816793,0.00390190668809,1.075704455,0.001221275,0.00105451082006,0.0014336
118,1.099297636,1.051301814,0.001607057,0.00185834065216,0.003600778,0.00378041103458,1.071831182,0.000891943,0.00103249624632,0.001536
119,1.092894818,1.048477884,0.002119865,0.00181415348521,0.002229762,0.00367095959231,1.068545455,0.00083954,0.0010123337445,0.0016384
120,1.085814364,1.044744566,0.001493678,0.00173705025229,0.002710034,0.0034811814443,1.062364727,0.001003045,0.000976602868743,0.0018432
121,1.078059636,1.041701248,0.001596967,0.00167179108871,0.003209649,0.00332174782506,1.057282364,0.001100947,0.000945797355577,0.002048
122,1.070196909,1.039080711,0.001304455,0.00161563647484,0.001903081,0.0031854254004,1.052776182,0.001083379,0.000918862071379,0.0022528
123,1.065527,1.036230489,0.00158373,0.00156665897544,0.003442203,0.00306717568362,1.048918273,0.001007007,0.000895037487988,0.0024576
124,1.060946364,1.033725005,0.001402694,0.00152345780176,0.003257268,0.00296336878503,1.045535364,0.001212946,0.000873760228555,0.0026624
125,1.055620091,1.031801525,0.001217925,0.00148498732817,0.003030379,0.00287131603151,1.042614364,0.001067261,0.000854601975793,0.002867199
126,1.051901636,1.029960845,0.001458318,0.00145044848903,0.004345239,0.00278897701441,1.040051636,0.000977098,0.000837229865575,0.003071999
127,1.048422818,1.028613202,0.001592695,0.00141921956609,0.003741991,0.00271477399618,1.037779364,0.000818263,0.000821380977721,0.003276799
128,1.044928909,1.025956755,0.001214985,0.00136481839383,0.002309654,0.0025860548077,1.033900091,0.000654798,0.000793447366361,0.003686399
129,1.039909545,1.024066625,0.001418307,0.00131887268208,0.002231087,0.0024778620684,1.030696545,0.000709077,0.000769531449549,0.004096
130,1.036470545,1.021964686,0.001334218,0.00127941807804,0.001664404,0.00238531659297,1.027843,0.000846817,0.000748756804443,0.004505599
131,1.031895,1.020331269,0.000996724,0.0012450739781,0.002249145,0.00230501573253,1.025718727,0.000765418,0.000730495105475,0.004915199
