delta_t,msdB,msdR,msdmaxBlue,msdmaxRed,msdminBlue,msdminRed,normB,normR,stdNormB,stdNormR
3.199999e-06,[ 0.00429202],[ 0.00243284],[ 0.00132055],[ 0.00273315],[ 0.00360102],[ 0.00590966],0.9496169095122112,0.9506873570889393,0.0074543105356490134,0.00577612372965941
3.5999990000000004e-06,[ 0.00431789],[ 0.00333431],[ 0.00195802],[ 0.00283159],[ 0.00479526],[ 0.00585752],0.9322628755738074,0.9504050381486023,0.00892271984579068,0.0054991556912767645
4e-06,[ 0.00446632],[ 0.00317869],[ 0.00202628],[ 0.00266014],[ 0.00439009],[ 0.00635169],0.9352114374115993,0.94878889169122,0.007484724910075718,0.006684703653175031
4.399999e-06,[ 0.00476941],[ 0.00410058],[ 0.00300634],[ 0.00318934],[ 0.0052467],[ 0.00640954],0.918021090043896,0.945505909415939,0.0068261945912839175,0.00579093209163433
4.799999e-06,[ 0.00517385],[ 0.00299297],[ 0.0018094],[ 0.0034732],[ 0.00423914],[ 0.0069439],0.9387557522597829,0.9411609381410578,0.007753943464368007,0.006183011811384088
5.199999e-06,[ 0.00489399],[ 0.00364576],[ 0.00233919],[ 0.00328363],[ 0.00502782],[ 0.00656666],0.9264192123058647,0.9441632326702263,0.00834640655594215,0.005886829018487194
5.599999e-06,[ 0.00523844],[ 0.0044269],[ 0.00325066],[ 0.00389943],[ 0.00566283],[ 0.00662006],0.9120923979017954,0.9404708614245516,0.007250976284663281,0.004840310898513549
5.999999e-06,[ 0.00570666],[ 0.00433376],[ 0.00314215],[ 0.00406514],[ 0.00558681],[ 0.0074123],0.9137764486460047,0.9354983697316591,0.00737669603912174,0.005890581422879366
6.399999e-06,[ 0.00500687],[ 0.00460294],[ 0.00346678],[ 0.0034818],[ 0.00579446],[ 0.00658763],0.9089269286036213,0.942949991186196,0.0069470347763003785,0.0055547991868858376
7.199999e-06,[ 0.00603668],[ 0.00452839],[ 0.00380521],[ 0.00460149],[ 0.00527364],[ 0.00752045],0.9102647082397517,0.9320254348889823,0.004397389101485211,0.0050988311483781724
7.999999e-06,[ 0.00609836],[ 0.00476822],[ 0.00363373],[ 0.00461394],[ 0.00595769],[ 0.00763477],0.9059756602129343,0.9313792372971053,0.006889311466275982,0.005269276686826306
8.799999000000001e-06,[ 0.0066947],[ 0.00476062],[ 0.0036037],[ 0.00509222],[ 0.00597479],[ 0.00835748],0.9061107962433546,0.9251783747937532,0.007031034825885139,0.005618763943268812
9.599999e-06,[ 0.00665713],[ 0.00577531],[ 0.00489385],[ 0.00512324],[ 0.00668885],[ 0.0082462],0.888413101942585,0.9255665582392335,0.005110826261912344,0.005378629119832975
1.04e-05,[ 0.0071909],[ 0.00545231],[ 0.00440716],[ 0.00558369],[ 0.00654321],[ 0.0088584],0.8939684813994448,0.9200821570189623,0.006160090174841235,0.005572319494283736
