delta_t,meanB,meanBR,meanR,stdB,stdR,stdBR
2.80E-06,2.363347636,1.031721014,1.791834727,0.051596753,0.011204252,0.019819869
3.00E-06,2.327977364,1.031514091,1.795728636,0.053917478,0.011099458,0.016913189
3.20E-06,2.300266455,1.028978909,1.787288545,0.061980735,0.015668668,0.022591907
3.60E-06,2.318116182,1.026406818,1.787819545,0.040569465,0.013156971,0.011510538
4.00E-06,2.321979455,1.034829364,1.785124182,0.034990471,0.015645651,0.012009944
4.40E-06,2.310036636,1.027833773,1.784717909,0.032091108,0.015280618,0.00826853
4.80E-06,2.279980909,1.033429136,1.781485182,0.029159879,0.012431469,0.010261544
5.20E-06,2.289539636,1.029055214,1.777968727,0.053800079,0.016389115,0.016083097
5.60E-06,2.268508,1.024623364,1.773718727,0.03741568,0.014103176,0.010407659
6.00E-06,2.274823636,1.031906636,1.772901091,0.041455368,0.012442018,0.011239481
6.40E-06,2.284211182,1.028426223,1.777901545,0.040566877,0.016825797,0.011361434
7.20E-06,2.282218455,1.032678091,1.769598818,0.039815374,0.010941735,0.013680372
8.00E-06,2.249545182,1.025559591,1.768919545,0.031591482,0.014217317,0.009175468
8.80E-06,2.265766182,1.029371909,1.765954545,0.029070843,0.014856293,0.010007835
9.60E-06,2.257818636,1.027554636,1.766384818,0.034495392,0.013355495,0.010511948
1.04E-05,2.240818818,1.032696182,1.762046,0.039019439,0.01359905,0.009404404
1.12E-05,2.234091273,1.031831182,1.758626455,0.033175151,0.013522004,0.006261129
1.20E-05,2.242882364,1.027673864,1.760044455,0.033854407,0.012721033,0.008356837
1.28E-05,2.218857545,1.03031,1.756496182,0.024344238,0.009702742,0.009495603
1.44E-05,2.222699364,1.030859182,1.752220091,0.026728952,0.01309727,0.006557484
1.60E-05,2.224163,1.027933636,1.748454636,0.021836142,0.01300524,0.006019933
1.76E-05,2.210450545,1.031839091,1.748086091,0.022966215,0.011235511,0.00646154
1.92E-05,2.206193545,1.029821091,1.745768,0.021608209,0.011962224,0.006684999
2.08E-05,2.202277,1.031176909,1.741074455,0.022605535,0.012104072,0.006312996
2.24E-05,2.194239455,1.028728136,1.739891727,0.024582775,0.011624375,0.00618619
2.40E-05,2.180662091,1.030002773,1.739059636,0.023084233,0.013046099,0.00532987
2.56E-05,2.190666364,1.029883591,1.735960182,0.023256197,0.010546953,0.006081389
2.88E-05,2.182719,1.029537318,1.732498091,0.024601915,0.010599563,0.003502739
3.20E-05,2.166150909,1.028307091,1.730028273,0.01453695,0.010335882,0.005171054
3.52E-05,2.157516,1.030966364,1.727318636,0.020899152,0.009556125,0.004960368
3.84E-05,2.151625,1.031706455,1.725240273,0.016559016,0.010343294,0.0053586
4.16E-05,2.144114182,1.028342545,1.723010818,0.019486669,0.009660775,0.004642858
4.48E-05,2.141671182,1.029496182,1.719200818,0.018089854,0.010299936,0.00454503
4.80E-05,2.121249364,1.030238545,1.719339091,0.019663434,0.010259985,0.005780242
5.12E-05,2.122237727,1.028562909,1.717295364,0.017087414,0.010282244,0.008012369
5.76E-05,2.103856091,1.031197091,1.713232727,0.017075048,0.008375584,0.003886224
6.40E-05,2.097652455,1.028737909,1.709512636,0.018837473,0.009330576,0.0037563
7.04E-05,2.077512727,1.028222864,1.706956182,0.013209896,0.009123372,0.003562715
7.68E-05,2.073238182,1.030246727,1.703342727,0.018139598,0.008319296,0.003982014
8.32E-05,2.057355273,1.029475409,1.701350818,0.011148388,0.009188283,0.004675416
8.96E-05,2.048118273,1.029597545,1.696108727,0.015431863,0.00941481,0.004202578
9.60E-05,2.037282,1.029388182,1.694356545,0.013419496,0.009794228,0.003351287
0.0001024,2.023292818,1.028560545,1.691211818,0.015745511,0.009242212,0.003726867
0.0001152,2.006122364,1.030040455,1.685220545,0.011456472,0.008993966,0.003720505
0.000128,1.989041,1.028849091,1.680765455,0.011961967,0.009370543,0.00362796
0.0001408,1.970922182,1.029281682,1.675704,0.014078854,0.008498673,0.00395995
0.0001536,1.957052273,1.028117273,1.669478636,0.012663252,0.009395609,0.003643885
0.0001664,1.942513091,1.029827045,1.665334273,0.009144808,0.008497681,0.003867576
0.0001792,1.927846,1.029304091,1.661454182,0.013479126,0.008246397,0.003195957
0.000192,1.911344273,1.029471545,1.656636,0.013458192,0.008386656,0.002474917
0.0002048,1.898989545,1.028655364,1.652073182,0.010102105,0.009135743,0.003177328
0.0002304,1.874055273,1.028821136,1.642649727,0.010137004,0.008748348,0.002779226
0.000256,1.852656364,1.0283935,1.634593545,0.010031147,0.00850488,0.003401782
0.0002816,1.832377182,1.028865182,1.626599,0.009531298,0.007871346,0.003125772
0.0003072,1.815093636,1.029353682,1.618969273,0.010467933,0.008330097,0.003239166
0.0003328,1.79347,1.028672682,1.611438636,0.007452501,0.00793183,0.002607308
0.0003584,1.779495818,1.028333591,1.603834091,0.00890493,0.007617845,0.003190419
0.000384,1.761671727,1.028784409,1.597823455,0.007649094,0.008133228,0.002357949
0.0004096,1.747540364,1.028699682,1.590825636,0.010375511,0.007755382,0.002938955
0.0004608,1.718108455,1.028196818,1.578551818,0.006125433,0.00732644,0.002548044
0.000512,1.693545909,1.028146773,1.566720091,0.009059073,0.007305007,0.002866317
0.0005632,1.670856091,1.028475636,1.556220091,0.006112005,0.007261415,0.00286199
0.0006144,1.650238273,1.028386136,1.545722182,0.006123846,0.006666752,0.002740605
0.0006656,1.631734636,1.028307045,1.535867,0.007339596,0.00690675,0.002661683
0.0007168,1.613340273,1.028346455,1.526293727,0.004868126,0.006960967,0.003152772
0.000768,1.596035364,1.028336545,1.517740818,0.005351149,0.006670456,0.002713283
0.0008192,1.581348818,1.028096727,1.509101182,0.005400238,0.00648041,0.003091448
0.0009216,1.554129182,1.028126636,1.493296455,0.004391978,0.006174594,0.00276503
0.001024,1.528991727,1.028067136,1.479068091,0.003439694,0.006145565,0.002347922
0.0011264,1.505697182,1.027807545,1.465623455,0.004072444,0.00583063,0.002489947
0.0012288,1.485425,1.028204091,1.453396455,0.003520065,0.006007553,0.002439462
0.0013312,1.468134273,1.028017591,1.442025818,0.00329502,0.005467478,0.002880085
0.0014336,1.452186,1.027958091,1.431507909,0.004141672,0.005752893,0.0026904
0.001536,1.436806,1.027852909,1.421263,0.0035932,0.005420571,0.002639851
0.0016384,1.422097091,1.027575864,1.411664909,0.003315382,0.00552893,0.002693683
0.0018432,1.398151636,1.027339591,1.394246545,0.00383836,0.005241484,0.002653488
0.002048,1.375850636,1.026975409,1.378327,0.004135371,0.004908965,0.002553433
0.0022528,1.356923636,1.026973045,1.364318273,0.004132425,0.004658704,0.002547422
0.0024576,1.339855,1.026720364,1.351447636,0.004479957,0.004871483,0.002489935
0.0026624,1.325355,1.026656773,1.339870455,0.004252811,0.004572578,0.002337016
0.002867199,1.311382545,1.026324182,1.329218091,0.003695622,0.004553419,0.0021752
0.003071999,1.298211364,1.026397636,1.319122818,0.003947198,0.004138155,0.002439257
0.003276799,1.288038636,1.026106227,1.310049273,0.004624644,0.004332361,0.00251536
0.003686399,1.268167364,1.025631864,1.293797727,0.003963818,0.004286299,0.00248838
0.004096,1.250208455,1.025354318,1.279095727,0.004195202,0.00388937,0.002165867
0.004505599,1.235586364,1.025292591,1.266269364,0.003763775,0.003797589,0.002559811
0.004915199,1.223125636,1.024842318,1.254744364,0.003393157,0.003720306,0.002495903
0.005324799,1.211752636,1.024641409,1.244265182,0.004011841,0.003608389,0.002670391
0.005734399,1.201330182,1.024298455,1.234720091,0.004168909,0.003503913,0.002940787
0.006143999,1.193020273,1.024277773,1.226128909,0.004497938,0.003240916,0.002888597
0.006553599,1.184292,1.024144818,1.218231,0.003966214,0.00322265,0.002765141
0.007372799,1.169858364,1.023572364,1.204497182,0.004695704,0.003470636,0.002575109
0.008191999,1.157404818,1.023020273,1.192500818,0.004764048,0.00355194,0.00265321
0.009011199,1.14713,1.022256955,1.181887273,0.004320737,0.003591248,0.002685581
0.009830398,1.138350636,1.021600636,1.172425727,0.003997718,0.00318562,0.00248552
0.0106496,1.130539,1.021410227,1.164226455,0.003764376,0.00286192,0.002180541
0.0114688,1.123925545,1.021128818,1.156920455,0.004335664,0.002717552,0.001725761
0.012288,1.117512091,1.020683909,1.150524455,0.003742539,0.002847041,0.001834125
0.0131072,1.111401455,1.020396,1.144439727,0.003994596,0.002654085,0.001596756
0.0147456,1.101900636,1.0196835,1.133765818,0.003652464,0.002614074,0.001656755
0.016384,1.093727818,1.019182,1.124268909,0.003986054,0.002490054,0.001854009
0.0180224,1.087140545,1.0182895,1.116323818,0.003899625,0.002562082,0.001856065
0.0196608,1.081088455,1.017524409,1.109442455,0.003654928,0.002511296,0.002000475
0.0212992,1.075521182,1.016806818,1.104010727,0.003461192,0.002788226,0.001919938
0.0229376,1.070739182,1.016502273,1.098867091,0.00311028,0.002828179,0.001480562
0.024576,1.066348818,1.015824364,1.093763455,0.002805801,0.002752231,0.001652351
0.02621439,1.062562273,1.015155227,1.089256909,0.003203711,0.002568687,0.001950552
0.0294912,1.056520273,1.014319909,1.081513273,0.003180722,0.002606084,0.001772482
0.032768,1.050692182,1.013289409,1.074969727,0.002827134,0.002515786,0.001779635
0.0360448,1.046257455,1.012618,1.069230909,0.002491174,0.002452013,0.001726418
0.03932159,1.042774545,1.012164773,1.064217091,0.002855463,0.002504657,0.001803105
0.04259839,1.040240364,1.011774364,1.060093273,0.002319204,0.002450128,0.001652048
0.04587519,1.037011909,1.0115285,1.056486091,0.002424534,0.002246653,0.001413891
0.04915199,1.034102818,1.010846682,1.053239455,0.002145926,0.002205361,0.001522125
0.05242879,1.032140182,1.0101715,1.050213727,0.001903188,0.002416566,0.00204143
0.05898239,1.028976455,1.009008,1.044950182,0.001178946,0.002268713,0.002133792
0.06553599,1.026172091,1.008369955,1.040468,0.00152795,0.002288982,0.001540487
0.07208959,1.023621364,1.007604318,1.036817364,0.001479816,0.002291714,0.001393016
0.07864319,1.021236182,1.007524455,1.033745727,0.001790959,0.001554266,0.001305923
0.08519679,1.019777727,1.006719318,1.031246636,0.002313217,0.001566346,0.001180594
0.09175038,1.018000455,1.005916409,1.029480364,0.001910394,0.001038454,0.001247744
0.09830398,1.016497,1.005774864,1.027309818,0.001851461,0.001428887,0.001595021
0.1048576,1.015749818,1.005548045,1.025189818,0.001876798,0.001511146,0.001369197
0.1179648,1.014615,1.004572045,1.022817091,0.001675413,0.001393706,0.001625805
0.131072,1.012646364,1.004175864,1.020130182,0.002148369,0.001576275,0.00201578
0.1441792,1.011650909,1.004010955,1.018277,0.00116504,0.001245763,0.00173117
0.1572864,1.009884818,1.003860818,1.016790727,0.001507772,0.001639351,0.00142606
0.1703936,1.009277091,1.003520045,1.015446545,0.001349905,0.001889804,0.001488486
0.1835008,1.008019364,1.003137714,1.013749818,0.001593432,0.001933472,0.001444468
0.196608,1.007734909,1.003065914,1.012387545,0.001275853,0.001779875,0.001976005
0.2097152,1.007296545,1.002849909,1.011359273,0.00155889,0.001477967,0.001854406
0.2359296,1.006111727,1.0024231,1.010116364,0.000946986,0.001590369,0.001222292
0.262144,1.006034,1.002072636,1.009206364,0.000892698,0.001804572,0.001046766
0.2883584,1.005277909,1.002065955,1.008558727,0.001651723,0.001586638,0.000778873
0.3145728,1.005351909,1.001830368,1.007854818,0.0015655,0.001826578,0.001205372
0.3407871,1.004304,1.001663909,1.006878727,0.002077697,0.002222428,0.001150592
0.3670015,1.003391218,1.001499436,1.005887636,0.001861959,0.001878522,0.00111138
0.3932159,1.003566182,1.001679223,1.005937455,0.000715382,0.001470593,0.001212555
0.4194303,1.003316909,1.001235809,1.005410909,0.000892574,0.001599599,0.001158625
0.4718591,1.002816818,1.001248959,1.003707364,0.000982336,0.001426559,0.00087536
0.5242879,1.003348636,1.001012827,1.003977236,0.001096242,0.002122585,0.000914156
0.5767167,1.0029179,1.000858486,1.003832182,0.001544797,0.001363082,0.001001339
0.6291455,1.002431909,1.00083835,1.002828727,0.001261938,0.001605019,0.000875013
0.6815743,1.001820327,1.000689045,1.003036,0.00162521,0.001330622,0.001200908
0.7340031,1.002061518,1.000467345,1.002667273,0.001519559,0.001561534,0.001214643
0.7864318,1.001092755,1.000196086,1.0023427,0.001312311,0.001426193,0.00088819
0.8388606,1.001592955,1.000138991,1.001814736,0.001445129,0.001284653,0.001301687
0.9437183,1.001394145,0.9999349,1.001738273,0.001194885,0.000829862,0.000671227
1.048576,1.001368809,1.000054395,1.002017818,0.001098339,0.001418112,0.001109684
1.153433,1.001159882,1.000146395,1.002121,0.001288143,0.000975543,0.000862119
1.258291,1.001213491,1.000505391,1.001390273,0.001341749,0.001024838,0.000966163
1.363149,1.000881582,1.00021675,1.0002975,0.000947278,0.001522519,0.00107006
1.468006,1.000420364,1.000433964,1.000232055,0.001096018,0.001025887,0.001439833
1.572864,1.000473609,1.000732455,1.000481791,0.000666331,0.001025813,0.000766826
1.677721,1.000722591,0.999740077,1.000319127,0.001234306,0.001381104,0.000731129
1.887437,1.000492873,0.999957014,1.000615273,0.000809283,0.001007737,0.001020533
2.097152,1.000469836,1.000014168,1.000397445,0.000531549,0.001295035,0.000500109
2.306867,1.000431573,0.999867323,1.000522727,0.000827444,0.000679551,0.000769671
2.516582,1.000219282,1.00017725,1.000602473,0.000382107,0.001333763,0.000834903
2.726297,1.000216318,0.999759673,1.000259909,0.000714881,0.00128603,0.001140606
2.936012,0.999862964,0.999883941,1.0002582,0.000889872,0.000879701,0.001091579
3.145727,0.999887345,0.99985105,1.0001748,0.000666163,0.00102032,0.000972041
3.355443,1.000333827,1.000238136,1.000148191,0.000932671,0.000858919,0.000942494
3.774873,1.000414364,1.000262027,0.999765982,0.000729731,0.000880037,0.000921312
4.194304,1.000042864,1.000216964,1.000159436,0.000950096,0.000870834,0.000910378
4.613734,1.000064009,1.000029177,1.000414882,0.000643993,0.001161029,0.000859296
5.033164,1.000251682,0.99996875,1.000186,0.000313769,0.000752345,0.000770386
5.452594,1.000167545,1.000331973,1.000670818,0.000978416,0.000872165,0.000667345
5.872025,1.000277536,1.000056755,1.000239782,0.000913114,0.000705202,0.000661748
6.291455,0.999804964,0.999515877,0.999857755,0.000544993,0.001060174,0.000682957
6.710885,1.000074918,0.999583586,1.000119455,0.000922412,0.001142821,0.000967983
7.549746,1.000261045,0.999484982,0.999974764,0.000758098,0.000822987,0.001005031
8.388607,1.000030864,0.999853014,0.999829973,0.000647804,0.00111764,0.000722217
9.227468,1.000124173,1.000311845,0.999968073,0.000564601,0.000824937,0.000597137
10.06633,0.999941745,0.999891986,0.999912736,0.0007085,0.000415646,0.000463595
10.90519,0.999871218,0.999955727,1.000268182,0.000655875,0.00076041,0.000571618
11.74405,1.000023055,0.999936691,0.999998445,0.000554669,0.000524534,0.000759139
12.58291,0.9999824,0.999945377,0.999380573,0.000581576,0.000808062,0.000612312
13.42177,0.999998473,0.999846427,1.000227518,0.000747863,0.000755424,0.000604312
15.09949,1.000033655,0.9999827,0.999903173,0.000520611,0.000489124,0.000700367
16.77721,0.999958718,0.999814827,0.999742873,0.000389142,0.00067418,0.000501514
18.45494,1.000185891,1.000224127,0.999839691,0.000341092,0.000485124,0.000481904
20.13266,1.000382791,1.000248359,0.999779273,0.000519249,0.000547498,0.000554108
21.81038,1.000209527,1.000060891,0.999990136,0.000724481,0.000587951,0.00034301
23.4881,0.999978782,1.000249405,1.000243973,0.000535776,0.000627766,0.000512224
25.16582,1.000120727,0.999924641,1.000005755,0.000439539,0.000486608,0.000424755
26.84354,1.000345873,1.000031755,1.000083609,0.000557433,0.000389119,0.000506351
30.19898,1.000043955,0.999797014,0.9998735,0.000292501,0.000574202,0.000526445
33.55443,1.000110436,0.999993255,1.000059927,0.000360613,0.000404681,0.00044361
36.90987,0.999950736,1.000122177,0.9999893,0.000356157,0.00041794,0.000472084
40.26531,0.999923936,1.000007845,1.000057255,0.000320915,0.00054673,0.000449935
43.62075,1.000138764,0.999967441,0.999941655,0.000250397,0.000516748,0.000423936
46.9762,1.000115682,0.9999843,1.000101173,0.000337978,0.000293364,0.000458777
50.33164,0.999954145,0.999929614,0.999918673,0.000389157,0.000561888,0.000368169
53.68708,1.000121982,0.9999668,0.999944191,0.000342189,0.000646319,0.000286195
