delta_t,meanB,meanBR,meanR,stdB,stdR,stdRB
0.0014336,2.867978067,1.335980233,3.341689933,0.041727628,0.045394559,0.026420521
0.001536,2.835345067,1.336801133,3.310532,0.045548856,0.044380014,0.025592623
0.0016384,2.791885533,1.334049233,3.279249267,0.041758284,0.046993727,0.025483616
0.0018432,2.723452267,1.333110833,3.222547733,0.042165234,0.045702006,0.026284669
0.002048,2.6646926,1.332437367,3.1717818,0.039157468,0.042012697,0.026088606
0.0022528,2.6047944,1.332115367,3.124679533,0.037747728,0.041931203,0.024834062
0.0024576,2.556083133,1.3305018,3.079738133,0.033107371,0.040488541,0.02621702
0.0026624,2.510740133,1.3309369,3.036349267,0.039239619,0.040461134,0.026094721
0.002867199,2.467403867,1.330062467,3.0002564,0.034487353,0.041280817,0.024197498
0.003071999,2.430778267,1.327065667,2.9638308,0.037951406,0.039118321,0.024942636
0.003276799,2.387607733,1.327662967,2.929954467,0.037831373,0.037725433,0.024925596
0.003686399,2.324026067,1.325202033,2.8689098,0.032721866,0.039113639,0.023788275
0.004096,2.262167267,1.324070033,2.811253933,0.031312547,0.039465212,0.025381743
0.004505599,2.213175133,1.3205164,2.7568754,0.033000453,0.036707731,0.024923868
0.004915199,2.1625846,1.318555933,2.709866867,0.031434036,0.03665226,0.025583162
0.005324799,2.1183996,1.315162167,2.668386333,0.03074328,0.037990143,0.023987695
0.005734399,2.0775042,1.3140323,2.626151933,0.033991665,0.036226764,0.02482272
0.006143999,2.042957667,1.3114601,2.587171,0.030816224,0.036406204,0.024502684
0.006553599,2.010819267,1.3089941,2.5513062,0.034372653,0.035318195,0.023404373
0.007372799,1.951915467,1.3025587,2.4899104,0.031929452,0.030571847,0.022604366
0.008191999,1.8986598,1.2970676,2.432442067,0.032264407,0.030392709,0.022101401
0.009011199,1.853907933,1.291824433,2.379537533,0.028805517,0.029340889,0.02229566
0.009830398,1.808938067,1.287176033,2.332288667,0.025935371,0.02873489,0.021924824
0.0106496,1.775470533,1.282143733,2.288161333,0.022949419,0.027356221,0.022399936
0.0114688,1.741908467,1.276103467,2.2467864,0.022163058,0.027321189,0.021592318
0.012288,1.7105268,1.270237867,2.206799933,0.017514563,0.025903382,0.021285892
0.0131072,1.684142,1.266752967,2.172345467,0.01889006,0.025467741,0.021322047
0.0147456,1.636359933,1.2572864,2.110399667,0.019203132,0.022445936,0.021830238
0.016384,1.597809067,1.247726733,2.0546758,0.02047419,0.02188418,0.021799942
0.0180224,1.561490333,1.238813933,2.005441,0.02069505,0.019784403,0.021652174
0.0196608,1.529223333,1.230655833,1.9610408,0.021789579,0.018146994,0.020766308
0.0212992,1.498760333,1.222904567,1.921306933,0.020551944,0.018194808,0.01972636
0.0229376,1.475238067,1.2155543,1.8829782,0.019383438,0.019746566,0.020569869
0.024576,1.450569267,1.208981567,1.848934267,0.019708346,0.021265155,0.020007188
0.02621439,1.427939333,1.203559067,1.817037733,0.019063229,0.019723634,0.019785541
0.0294912,1.390656533,1.193359067,1.758409133,0.018972242,0.018965829,0.018683501
0.032768,1.358729467,1.183429067,1.7068586,0.018032988,0.016390288,0.018582222
0.0360448,1.3316854,1.172683633,1.6635194,0.019623386,0.016890541,0.018116933
0.03932159,1.308602667,1.163558467,1.623395333,0.021420443,0.016274999,0.019364826
0.04259839,1.289649533,1.156016367,1.5880242,0.020746471,0.016150362,0.019865898
0.04587519,1.273448267,1.1475836,1.5574042,0.018773354,0.018868282,0.018378004
0.04915199,1.255065867,1.1392258,1.5288748,0.01687891,0.019156622,0.016577806
0.05242879,1.239840867,1.132997567,1.502233533,0.015411774,0.019368995,0.015491458
0.05898239,1.218647,1.124395,1.4558858,0.016309602,0.019948131,0.013353676
0.06553599,1.197051133,1.1149462,1.419106133,0.017968515,0.023699705,0.014618773
0.07208959,1.177864,1.108085033,1.388578,0.018610898,0.028382265,0.015678207
0.07864319,1.161415133,1.1030608,1.362175733,0.017605088,0.029117811,0.016201803
0.08519679,1.146665067,1.095764767,1.338026133,0.01670095,0.027969169,0.016395757
0.09175038,1.135589867,1.090755367,1.316200733,0.012706493,0.02727294,0.018186041
0.09830398,1.128240467,1.085845867,1.297842467,0.011962596,0.02709188,0.018291539
0.1048576,1.1203764,1.080119133,1.2808418,0.01228546,0.027376445,0.018634357
0.1179648,1.1040188,1.071609433,1.249851667,0.012458862,0.022461185,0.015257029
0.131072,1.0947184,1.0649095,1.225431267,0.013959891,0.020665892,0.014486054
0.1441792,1.084342,1.061589167,1.205279067,0.013393962,0.019841384,0.016258235
0.1572864,1.075121933,1.0584982,1.187137667,0.013629714,0.015303915,0.01501395
0.1703936,1.071030533,1.053243433,1.171028067,0.013644343,0.014361055,0.014550371
0.1835008,1.063717333,1.0504247,1.156849533,0.013675201,0.014169582,0.012163109
0.196608,1.056480867,1.047320833,1.143013733,0.00971537,0.015538824,0.010812451
0.2097152,1.053602333,1.043618,1.132512,0.010870678,0.017267611,0.012242658
0.2359296,1.0483914,1.039513133,1.119664867,0.013301554,0.018725105,0.015175261
