delta_t,meanB,meanBR,meanR,stdB,stdR,stdBR
0.0005632,1.825225591,1.120588841,1.718774727,0.089601256,0.013983622,0.043021419
0.0006144,1.809653455,1.12024125,1.709854773,0.092351786,0.012550109,0.043344432
0.0006656,1.790515227,1.120553545,1.700808455,0.095236313,0.011231288,0.043298625
0.0007168,1.776218864,1.120658,1.692022909,0.096974282,0.010236525,0.043178261
0.000768,1.761555864,1.120652705,1.684695727,0.099407385,0.009494981,0.042945752
0.0008192,1.747954318,1.120040273,1.676116545,0.101685529,0.009046168,0.042724504
0.0009216,1.720561,1.119616682,1.661832636,0.103994155,0.010369432,0.042805627
0.001024,1.695814818,1.119470773,1.648692727,0.105240791,0.011708635,0.042840404
0.0011264,1.676500864,1.119285386,1.636109227,0.107741716,0.013849258,0.042936396
0.0012288,1.655241045,1.118987886,1.625083591,0.108189357,0.015657708,0.042856189
0.0013312,1.638912682,1.118561477,1.613875727,0.109148821,0.01727894,0.043073869
0.0014336,1.621363,1.117924682,1.603876136,0.109213015,0.019944527,0.042565774
0.001536,1.605927227,1.1181075,1.593694591,0.110451804,0.021535509,0.042947454
0.0016384,1.592544591,1.117721614,1.584536727,0.110899387,0.022997151,0.042279667
0.0018432,1.566428,1.116258295,1.568062545,0.109791856,0.026228356,0.042091623
0.002048,1.543556591,1.115802977,1.552660864,0.10956331,0.028937605,0.042139625
0.0022528,1.523007818,1.115376545,1.538730045,0.109578063,0.031165003,0.041709306
0.0024576,1.505220136,1.114668591,1.525889773,0.109118657,0.033138624,0.041537098
0.0026624,1.487162364,1.113891205,1.514217227,0.107893108,0.034893525,0.041446935
0.002867199,1.472163909,1.113080227,1.502973955,0.106485243,0.036351483,0.041084128
0.003071999,1.458093045,1.112544818,1.492992227,0.105866485,0.037575659,0.040691558
0.003276799,1.445212182,1.111791091,1.483187182,0.104689296,0.038641309,0.040656208
0.003686399,1.422142409,1.109919136,1.465599364,0.102169766,0.040558689,0.039916052
0.004096,1.401093045,1.108677977,1.449756773,0.099961759,0.04217889,0.039467825
0.004505599,1.383195364,1.106906773,1.4355235,0.09839417,0.043049697,0.038806505
0.004915199,1.367031591,1.105348,1.422580545,0.096566165,0.044021805,0.038582897
0.005324799,1.352557045,1.103925114,1.410441455,0.094012179,0.044988203,0.038103281
0.005734399,1.338791227,1.102594886,1.399175636,0.092116055,0.044932813,0.037487708
0.006143999,1.326251227,1.101011318,1.389282227,0.089535438,0.045466969,0.036762827
0.006553599,1.315707,1.099714659,1.379267955,0.088276616,0.045817625,0.03636252
0.007372799,1.295892636,1.096902955,1.362177045,0.085011722,0.045940842,0.035677815
0.008191999,1.2788105,1.094006,1.346604409,0.080741297,0.045817421,0.034662473
0.009011199,1.263344591,1.091253159,1.332891545,0.07748962,0.045569969,0.033631394
0.009830398,1.249548318,1.088968318,1.320201227,0.074741514,0.045353359,0.032616951
0.0106496,1.237476636,1.086507727,1.308479727,0.072161254,0.045160151,0.031946976
0.0114688,1.226231045,1.084268659,1.297596909,0.069172547,0.044886242,0.031220651
0.012288,1.215782182,1.082129864,1.287394455,0.066829578,0.044107222,0.030421502
0.0131072,1.206908682,1.080402432,1.277958227,0.064890144,0.043525782,0.029451645
0.0147456,1.190110409,1.076976523,1.261549091,0.060256476,0.042066204,0.02800105
0.016384,1.177631182,1.073331659,1.246713682,0.056845421,0.040717523,0.02668546
0.0180224,1.165437,1.069825864,1.233269591,0.053718912,0.039623492,0.025493361
0.0196608,1.154644818,1.066767159,1.221415682,0.050565414,0.038128656,0.024231164
0.0212992,1.145486727,1.064230409,1.210959636,0.048302997,0.036957499,0.02325556
0.0229376,1.136830273,1.061800023,1.201327636,0.046168143,0.035678041,0.022317797
0.024576,1.128931364,1.059593545,1.192189727,0.044157314,0.034499677,0.02162342
0.02621439,1.122149818,1.056852273,1.1838845,0.041683566,0.033072622,0.020727242
0.0294912,1.109842682,1.052773295,1.169649818,0.037271873,0.030829525,0.019036181
0.032768,1.100015136,1.049522432,1.157165545,0.033869593,0.029039821,0.017251705
0.0360448,1.091508909,1.046337659,1.146086409,0.031292117,0.027233712,0.015810475
0.03932159,1.084054455,1.0435315,1.136412,0.029068919,0.025550601,0.014880822
0.04259839,1.077746955,1.041481227,1.128029909,0.027088378,0.023765768,0.014256407
0.04587519,1.072561273,1.039349545,1.120366273,0.025522464,0.021939361,0.013412806
0.04915199,1.067356727,1.037333091,1.113837182,0.02430256,0.020566628,0.012872545
0.05242879,1.062932,1.035181409,1.107782909,0.022887032,0.019375092,0.012501538
0.05898239,1.056519045,1.0322505,1.097030091,0.020880562,0.017722478,0.011277708
0.06553599,1.050856136,1.029312955,1.088217955,0.01865576,0.015964056,0.010293625
0.07208959,1.045056045,1.027348864,1.081095636,0.017279656,0.014408789,0.009312949
0.07864319,1.040832318,1.025350955,1.074810955,0.014961494,0.013045425,0.00831495
0.08519679,1.037661136,1.023421205,1.069141545,0.013479091,0.011832829,0.007880742
0.09175038,1.033721182,1.021970773,1.064448318,0.012592996,0.011112746,0.00726381
0.09830398,1.031514136,1.020972182,1.060294409,0.011808159,0.010928926,0.007068947
0.1048576,1.029883682,1.019983114,1.056589227,0.0105449,0.010395594,0.007039537
0.1179648,1.026068318,1.017040386,1.050666273,0.009701475,0.009113243,0.005838816
0.131072,1.023623682,1.015376682,1.045761455,0.008645295,0.008640539,0.005800257
0.1441792,1.021090909,1.013870068,1.041136045,0.00838319,0.007405041,0.005927607
0.1572864,1.018481091,1.012753841,1.037131409,0.006954841,0.006551732,0.005482694
0.1703936,1.016308364,1.011826886,1.033303682,0.006502281,0.00542547,0.004781461
0.1835008,1.014925409,1.011005045,1.030467227,0.006286996,0.005478116,0.004896513
0.196608,1.013970773,1.009971816,1.027915045,0.006490506,0.005274907,0.004949551
0.2097152,1.012690268,1.010049359,1.026357818,0.006842985,0.005247688,0.004779306
0.2359296,1.010323545,1.008747227,1.022862545,0.00541375,0.005677993,0.004471464
0.262144,1.010051909,1.007556068,1.019634136,0.004789501,0.005608775,0.004069175
0.2883584,1.008656318,1.006076568,1.017925364,0.00382236,0.004829503,0.003805415
0.3145728,1.008034136,1.005473634,1.016091727,0.003277648,0.004871669,0.003567044
