delta_t,meanB,meanBR,meanR,stdB,stdR,stdBR
0.0001792,1.385138917,1.060712458,1.267830833,0.004962333,0.001509979,0.00167372
0.000192,1.378480583,1.0605915,1.2659915,0.004134893,0.001553115,0.001674944
0.0002048,1.373706333,1.060240208,1.262918917,0.003993828,0.001534248,0.001749235
0.0002304,1.363673833,1.059930458,1.258817417,0.004431521,0.001749075,0.001544945
0.000256,1.354201833,1.059232958,1.25512375,0.004130882,0.00172476,0.001575411
0.0002816,1.346389083,1.05906725,1.2510795,0.004020508,0.001588453,0.001430128
0.0003072,1.33797875,1.058897917,1.24742625,0.0040366,0.001231093,0.001214828
0.0003328,1.329722083,1.058350833,1.244143583,0.004698374,0.001613898,0.001647734
0.0003584,1.32339375,1.058231208,1.240630167,0.003582909,0.001644919,0.001315509
0.000384,1.316302583,1.057859125,1.23742075,0.003864403,0.001516762,0.001202552
0.0004096,1.310475167,1.057344208,1.2342065,0.003536646,0.001393816,0.001442261
0.0004608,1.299037167,1.056517333,1.228352417,0.004293848,0.001513927,0.001156165
0.000512,1.28771025,1.055714375,1.222825417,0.003516843,0.001424211,0.001626657
0.0005632,1.277299917,1.055407583,1.217516833,0.002858322,0.00143293,0.001356244
0.0006144,1.268334167,1.054645208,1.212664167,0.002877748,0.00142291,0.00129132
0.0006656,1.259572,1.053958,1.208184917,0.0027983,0.001412285,0.001321027
0.0007168,1.252193833,1.052993958,1.203498333,0.002616446,0.001500897,0.001439679
0.000768,1.24502125,1.052647875,1.19944125,0.003190995,0.001197731,0.001384506
0.0008192,1.23819975,1.052222083,1.19540725,0.002867789,0.001570266,0.00114795
0.0009216,1.226066083,1.050810833,1.18806825,0.002698622,0.001337749,0.001170638
0.001024,1.214705917,1.049524625,1.18134775,0.00241528,0.001343903,0.001287788
0.0011264,1.204729833,1.048583583,1.175015167,0.002551528,0.001275758,0.001401207
0.0012288,1.195848167,1.047522708,1.1692685,0.002288349,0.001369462,0.001427356
0.0013312,1.18795875,1.046612708,1.1639945,0.002752627,0.001176825,0.001034417
0.0014336,1.18001625,1.045411917,1.15917625,0.00229616,0.001132974,0.001370075
0.001536,1.172638917,1.044891125,1.154359917,0.002092253,0.001259805,0.001333545
0.0016384,1.1668055,1.043895083,1.15014875,0.002506884,0.001235671,0.001216941
0.0018432,1.154784,1.042200542,1.142419417,0.001771845,0.001262621,0.001153533
0.002048,1.14558725,1.040828667,1.135262667,0.001773701,0.001224922,0.001254533
0.0022528,1.1367135,1.03926075,1.128785917,0.002059406,0.001429979,0.000982589
0.0024576,1.128687,1.037896792,1.123213083,0.001935837,0.001261217,0.000997744
0.0026624,1.12185925,1.036726708,1.11808275,0.001366425,0.001041995,0.000961364
0.002867199,1.115834583,1.035626458,1.113051833,0.00109322,0.001152394,0.000842807
0.003071999,1.1099135,1.03454975,1.1086425,0.001151099,0.001069723,0.000939033
0.003276799,1.105150083,1.033457375,1.104664833,0.00125198,0.001200263,0.000960775
0.003686399,1.096358667,1.03171825,1.09750075,0.000821197,0.000985889,0.000765273
0.004096,1.088730583,1.029925875,1.091174167,0.000964779,0.000973828,0.000738432
0.004505599,1.081928167,1.02841725,1.085600667,0.001041364,0.00088303,0.000665291
0.004915199,1.076704583,1.027016,1.080739333,0.001080619,0.000877926,0.000807213
0.005324799,1.071831667,1.025801583,1.076329,0.000868066,0.000792273,0.000861435
0.005734399,1.067207583,1.0246425,1.072340167,0.001010655,0.000832713,0.00083624
0.006143999,1.063651417,1.02380525,1.06879875,0.001104332,0.000830158,0.000812256
0.006553599,1.06013225,1.0227965,1.065620333,0.001434768,0.000786812,0.000787208
0.007372799,1.054157,1.021220667,1.05994425,0.001144926,0.000820877,0.000841882
0.008191999,1.048863833,1.019664625,1.055085083,0.001146632,0.000808384,0.000802663
0.009011199,1.044584917,1.018561708,1.051075333,0.00115539,0.000798673,0.000718784
0.009830398,1.040872667,1.01746725,1.047463,0.001042227,0.000799363,0.00066043
0.0106496,1.037946583,1.016380667,1.044414,0.000997007,0.000746281,0.00056448
0.0114688,1.03524975,1.015647583,1.041859,0.0006801,0.000755143,0.000669702
0.012288,1.033091083,1.014818458,1.039485167,0.000913125,0.000773866,0.000635952
0.0131072,1.031206,1.014073875,1.037233167,0.00095988,0.000665332,0.000771679
0.0147456,1.028028083,1.012764667,1.033456167,0.000784803,0.000623927,0.000837585
0.016384,1.025201333,1.011787833,1.0301535,0.001025613,0.000602817,0.000830473
0.0180224,1.022991083,1.010945417,1.027467167,0.001168809,0.000682135,0.000785533
0.0196608,1.020947083,1.010268167,1.025109917,0.001078579,0.000716557,0.000661519
0.0212992,1.019385417,1.009607208,1.023279583,0.00136269,0.000546437,0.000724785
0.0229376,1.01787825,1.008951458,1.021541167,0.001293124,0.000564672,0.000878212
0.024576,1.016341083,1.008563917,1.020134,0.00130974,0.000570389,0.000847384
0.02621439,1.015237833,1.008142833,1.019002333,0.001300758,0.00067196,0.001084548
0.0294912,1.013355,1.007443542,1.016892833,0.001211621,0.000692123,0.000898378
0.032768,1.012110083,1.006522375,1.015211083,0.001026591,0.000682725,0.000770161
0.0360448,1.01115375,1.005933792,1.013701917,0.001199335,0.000822034,0.000578698
0.03932159,1.010165333,1.005509875,1.012462667,0.001016477,0.000932966,0.00081355
0.04259839,1.009271583,1.005317417,1.011416917,0.001066816,0.000845531,0.000652283
0.04587519,1.008280083,1.004798708,1.01031325,0.001038053,0.00078062,0.000807619
0.04915199,1.007632083,1.004181417,1.009544417,0.000918699,0.000743254,0.000716555
0.05242879,1.007031583,1.003853583,1.008930083,0.001041644,0.000679055,0.000720352
0.05898239,1.005974167,1.003327792,1.00796925,0.000952328,0.000779319,0.000651396
0.06553599,1.005346833,1.002981292,1.007148167,0.00072794,0.000886956,0.000429503
0.07208959,1.004849417,1.002881042,1.0063385,0.000585816,0.000889617,0.000693495
0.07864319,1.004561583,1.002694667,1.005991167,0.000716731,0.000859344,0.000942877
0.08519679,1.00400775,1.002540083,1.005383,0.000958124,0.00068282,0.000957833
0.09175038,1.00345775,1.002300292,1.004796083,0.000684659,0.000698083,0.000830515
0.09830398,1.00323125,1.002256458,1.004543333,0.000807184,0.000825238,0.000777963
0.1048576,1.003101583,1.002047208,1.004098083,0.000846219,0.000748932,0.000833208
